t,Europe,China,US,Japan,RoW
1971,11270,230,6900,2300,2300
1972,12740,260,7800,2600,2600
1973,14210,290,8700,2900,2900
1974,15680,320,9600,3200,3200
1975,17150,350,10500,3500,3500
1976,18620,380,11400,3800,3800
1977,20090,410,12300,4100,4100
1978,21560,440,13200,4400,4400
1979,23030,470,14100,4700,4700
1980,24500,500,15000,5000,5000
1981,25850,925,15875,5925,5925
1982,27200,1350,16750,6850,6850
1983,28550,1775,17625,7775,7775
1984,29900,2200,18500,8700,8700
1985,31250,2625,19375,9625,9625
1986,32600,3050,20250,10550,10550
1987,33950,3475,21125,11475,11475
1988,35300,3900,22000,12400,12400
1989,36650,4325,22875,13325,13325
1990,38000,4750,23750,14250,14250
1991,38800,5425,23675,14550,14550
1992,39600,6100,23600,14850,14850
1993,40400,6775,23525,15150,15150
1994,41200,7450,23450,15450,15450
1995,42000,8125,23375,15750,15750
1996,42800,8800,23300,16050,16050
1997,43600,9475,23225,16350,16350
1998,44400,10150,23150,16650,16650
1999,45200,10825,23075,16950,16950
2000,46000,11500,23000,17250,17250
2001,46340,11910,23040,18125,17085
2002,46680,12320,23080,19000,16920
2003,47020,12730,23120,19875,16755
2004,47360,13140,23160,20750,16590
2005,47700,13550,23200,21625,16425
2006,48040,13960,23240,22500,16260
2007,48380,14370,23280,23375,16095
2008,48720,14780,23320,24250,15930
2009,49060,15190,23360,25125,15765
2010,49400,15600,23400,26000,15600
2011,50392.85714,17971.42857,23507.14286,26195.71429,16361.42857
2012,51385.71429,20342.85714,23614.28571,26391.42857,17122.85714
2013,52378.57143,22714.28571,23721.42857,26587.14286,17884.28571
2014,53371.42857,25085.71429,23828.57143,26782.85714,18645.71429
2015,54364.28571,27457.14286,23935.71429,26978.57143,19407.14286
2016,55357.14286,29828.57143,24042.85714,27174.28571,20168.57143
2017,56350,32200,24150,27370,20930
2018,57119.23077,36046.15385,24288.46154,27508.46154,22037.69231
2019,57888.46154,39892.30769,24426.92308,27646.92308,23145.38462
2020,58657.69231,43738.46154,24565.38462,27785.38462,24253.07692
2021,59426.92308,47584.61538,24703.84615,27923.84615,25360.76923
2022,60196.15385,51430.76923,24842.30769,28062.30769,26468.46154
2023,60965.38462,55276.92308,24980.76923,28200.76923,27576.15385
2024,61734.61538,59123.07692,25119.23077,28339.23077,28683.84615
2025,62503.84615,62969.23077,25257.69231,28477.69231,29791.53846
2026,63273.07692,66815.38462,25396.15385,28616.15385,30899.23077
2027,64042.30769,70661.53846,25534.61538,28754.61538,32006.92308
2028,64811.53846,74507.69231,25673.07692,28893.07692,33114.61538
2029,65580.76923,78353.84615,25811.53846,29031.53846,34222.30769
2030,66350,82200,25950,29170,35330
