year,g/MW,Steel,Aluminium,Concrete,Plastics,Glass,Cu,Nd,Co,Pb
2020,Solar PV,150000000,10176000,0,0,0,6341800,0,0,121643
2020,CSP,576235814.3,5500000,1351812440,0,155986667,3145804.8,0,0,0
2020,Wind onshore,121375893.5,868361.91,433953151.8,0,0,2730547.92,20300,0,0
2020,Wind offshore,157942499,1438333.333,509133151.8,0,0,5571450,158337,0,0
2020,Hydro,70693938.8,0,2832619030,0,0,1699075.275,0,0,5360
2020,Other Renewables,215682962.5,3596539.049,1025503555,0,0,3897735.599,35727.4,0,25401
2020,Nuclear,43456666.67,78666.667,235233333.3,0,0,764800,0,121,33767
2020,<EMPTY>,0,0,0,0,0,0,0,0,0
2020,Conv. Coal,84600000,504252.236,352800000,0,0,1146000,0,115486,0
2020,Conv. Oil,72900000,600000,213360000,0,0,762112.9032,0,67282,0
2020,Conv. Natural Gas,4035483.871,376451.613,43029354.84,0,0,378225.8065,0,19078,0
2020,Waste,72900000,600000,213360000,0,0,762112.9032,0,67282,0
2020,IGCC,34900000,504252.236,165000000,0,0,1146000,0,115486,0
2020,OGCC,72900000,600000,213360000,0,0,762112.9032,0,67282,0
2020,NG CC,28969000,652000,64624500,0,0,1051282.051,0,19078,0
2020,Biomass CC,33420500,262500,89183500,0,0,762112.9032,0,67282,0
2020,Coal + CCS,109200000,504252.236,352800000,0,0,1630005.94,0,122986,0
2020,Oil/Coal + CCS,94097872.34,600000,213360000,0,0,1454112.903,0,74782,0
2020,Natural Gas + CCS,5208922.443,376451.613,43029354.84,0,0,1070225.806,0,26578,0
2020,Biomass + CCS,43138517.73,262500,89183500,0,0,1454112.903,0,74782,0
2020,CHP Coal,84600000,504252.236,352800000,0,0,5590800,0,115486,0
2020,CHP Oil,72900000,600000,213360000,0,0,5206912.903,0,67282,0
2020,CHP Natural Gas,4035483.871,376451.613,43029354.84,0,0,4823025.806,0,19078,0
2020,CHP Biomass,6181250,50000,243796875,0,0,2937400,0,67282,0
2020,CHP Coal + CCS,109200000,504252.236,352800000,0,0,6282800,0,122986,0
2020,CHP Oil + CCS,94097872.34,600000,213360000,0,0,5898912.903,0,74782,0
2020,CHP Natural Gas + CCS,5208922.443,376451.613,43029354.84,0,0,5515025.806,0,26578,0
2020,CHP Biomass + CCS,43138517.73,262500,243796875,0,0,3629400,0,74782,0
2050,Solar PV,150000000,10176000,0,0,0,6341800,0,0,121643
2050,CSP,576235814.3,5500000,1351812440,0,155986667,3145804.8,0,0,0
2050,Wind onshore,121375893.5,868361.91,433953151.8,0,0,2730547.92,20300,0,0
2050,Wind offshore,157942499,1438333.333,509133151.8,0,0,5571450,158337,0,0
2050,Hydro,70693938.8,0,2832619030,0,0,1699075.275,0,0,5360
2050,Other Renewables,215682962.5,3596539.049,1025503555,0,0,3897735.599,35727.4,0,25401
2050,Nuclear,43456666.67,78666.667,235233333.3,0,0,764800,0,121,33767
2050,<EMPTY>,0,0,0,0,0,0,0,0,0
2050,Conv. Coal,84600000,504252.236,352800000,0,0,1146000,0,115486,0
2050,Conv. Oil,72900000,600000,213360000,0,0,762112.9032,0,67282,0
2050,Conv. Natural Gas,4035483.871,376451.613,43029354.84,0,0,378225.8065,0,19078,0
2050,Waste,72900000,600000,213360000,0,0,762112.9032,0,67282,0
2050,IGCC,34900000,504252.236,165000000,0,0,1146000,0,115486,0
2050,OGCC,72900000,600000,213360000,0,0,762112.9032,0,67282,0
2050,NG CC,28969000,652000,64624500,0,0,1051282.051,0,19078,0
2050,Biomass CC,33420500,262500,89183500,0,0,762112.9032,0,67282,0
2050,Coal + CCS,109200000,504252.236,352800000,0,0,1630005.94,0,122986,0
2050,Oil/Coal + CCS,94097872.34,600000,213360000,0,0,1454112.903,0,74782,0
2050,Natural Gas + CCS,5208922.443,376451.613,43029354.84,0,0,1070225.806,0,26578,0
2050,Biomass + CCS,43138517.73,262500,89183500,0,0,1454112.903,0,74782,0
2050,CHP Coal,84600000,504252.236,352800000,0,0,5590800,0,115486,0
2050,CHP Oil,72900000,600000,213360000,0,0,5206912.903,0,67282,0
2050,CHP Natural Gas,4035483.871,376451.613,43029354.84,0,0,4823025.806,0,19078,0
2050,CHP Biomass,6181250,50000,243796875,0,0,2937400,0,67282,0
2050,CHP Coal + CCS,109200000,504252.236,352800000,0,0,6282800,0,122986,0
2050,CHP Oil + CCS,94097872.34,600000,213360000,0,0,5898912.903,0,74782,0
2050,CHP Natural Gas + CCS,5208922.443,376451.613,43029354.84,0,0,5515025.806,0,26578,0
2050,CHP Biomass + CCS,43138517.73,262500,243796875,0,0,3629400,0,74782,0
