year,kg/unit,Steel,Aluminium,Concrete,Plastics,Glass,Cu,Nd,Co,Pb
2000,Hv Substation,14652,33204,123900,302,0.05,4611.39,0,0,0.00200
2050,Hv Substation,14652,33204,123900,302,0,4611,0,0,0
2000,Mv Substation,1815,1228,127021,0,0,279.2,0,0,0
2050,Mv Substation,1815,1228,127021,0,0,279,0,0,0
2000,Lv Substation,38,1228,476,0,0,0.5,0,0,0
2050,Lv Substation,38,1228,476,0,0,0.5,0,0,0
2000,Hv Transformer,295999,497,648000,0,0,76047,0,0,0
2050,Hv Transformer,295999,497,648000,0,0,76047,0,0,0
2000,Mv Transformer,22659,21,46826,0,0,6877,0,0,0.0883
2050,Mv Transformer,22659,21,46826,0,0,6877,0,0,0
2000,Lv Transformer,480,85,176,0,0,13,0,0,0
2050,Lv Transformer,480,85,176,0,0,13,0,0,0
