year,kg/km,Steel,Aluminium,Concrete,Plastics,Glass,Cu,Nd,Co,Pb
2000,HV overhead,52266,12883,209138,0,1097,0,0,0,0
2050,HV overhead,52266,12883,209138,0,1097,0,0,0,0
2000,HV underground,0,0,17500,2300,0,11650,0,0,14050
2050,HV underground,0,0,17500,2300,0,13175,0,0,14050
2000,MV overhead,802.3,0,0,19.3,0,1488,0,0,0
2050,MV overhead,802.3333333,0,0,19.33333333,0,1487.666667,0,0,0
2000,MV underground,0,823.6,0,1347,0,662.9,0,0,0
2050,MV underground,0,823.5833333,0,1346.916667,0,662.9166667,0,0,0
2000,LV overhead,0,981,0,378,0,0,0,0,0
2050,LV overhead,0,981,0,378,0,0,0,0,0
2000,LV underground,177,531,0,0,0,0,0,0,0
2050,LV underground,177,531,0,0,0,0,0,0,0
